iter	Passed	Remaining
666	611610	5470568
667	612668	5470908
668	613622	5470317
669	614555	5469543
670	615507	5468939
671	616469	5468412
672	617406	5467672
673	618388	5467327
674	619324	5466568
675	620310	5466254
676	621278	5465781
677	622238	5465238
678	623180	5464527
679	624148	5464050
680	625107	5463497
681	626043	5462730
682	626980	5461979
683	627946	5461482
684	628872	5460636
685	629832	5460080
686	630791	5459513
687	631754	5458984
688	632725	5458522
689	633683	5457947
690	634644	5457395
691	635595	5456751
692	636565	5456279
693	637517	5455640
694	638491	5455198
695	639448	5454603
696	640430	5454225
697	641405	5453781
698	642350	5453090
699	643321	5452611
700	644283	5452057
701	645261	5451631
702	646233	5451162
703	647195	5450599
704	648159	5450054
705	649099	5449306
706	650105	5449116
707	651075	5448621
708	652034	5448032
709	653010	5447578
710	653976	5447042
711	654937	5446469
712	655907	5445965
713	656896	5445614
714	657844	5444925
715	658800	5444305
716	659778	5443859
717	660753	5443395
718	661704	5442727
719	662665	5442140
720	663604	5441373
721	664586	5440952
722	665546	5440359
723	666496	5439676
724	667432	5438885
725	668407	5438410
726	669360	5437751
727	670334	5437261
728	671301	5436712
729	672234	5435889
730	673179	5435163
731	674160	5434730
732	675123	5434148
733	676097	5433653
734	677042	5432919
735	677992	5432230
736	678957	5431657
737	679872	5430687
738	680842	5430156
739	681782	5429385
740	682726	5428639
741	683709	5428214
742	684659	5427512
743	685619	5426896
744	686592	5426383
745	687528	5425575
746	688479	5424885
747	689430	5424195
748	690405	5423690
749	691358	5423012
750	692332	5422502
751	693297	5421919
752	694254	5421273
753	695205	5420577
754	696200	5420218
755	697158	5419579
756	698148	5419178
757	699116	5418611
758	700084	5418049
759	701041	5417392
760	702020	5416904
761	702963	5416140
762	703952	5415726
763	704922	5415169
764	705901	5414683
765	706845	5413923
766	707806	5413285
767	708757	5412579
768	709684	5411692
769	710661	5411177
770	711595	5410341
771	712533	5409529
772	713523	5409113
773	714483	5408477
774	715441	5407817
775	716376	5406979
776	717327	5406270
777	718275	5405532
778	719220	5404774
779	720356	5405443
780	721578	5406759
781	722673	5407113
782	723613	5406309
783	724592	5405789
784	725595	5405453
785	726534	5404637
786	727473	5403827
787	728431	5403147
788	729355	5402223
789	730300	5401452
790	731263	5400814
791	732181	5399837
792	733113	5398969
793	734094	5398460
794	735048	5397751
795	735994	5396982
796	736935	5396176
797	737879	5395396
798	738812	5394530
799	739780	5393924
800	740710	5393041
801	741641	5392160
802	742604	5391508
803	743549	5390733
804	744495	5389958
805	745449	5389248
806	746378	5388355
807	747322	5387567
808	748261	5386743
809	749208	5385978
810	750151	5385178
811	751097	5384405
812	752062	5383770
813	753003	5382955
814	753948	5382177
815	754888	5381354
816	755834	5380577
817	756786	5379845
818	757738	5379107
819	758696	5378416
820	759649	5377689
821	760607	5376995
822	761576	5376380
823	762511	5375518
824	763455	5374728
825	764391	5373876
826	765351	5373192
827	766316	5372547
828	767239	5371601
829	768180	5370783
830	769112	5369906
831	770067	5369185
832	771006	5368354
833	771951	5367565
834	772889	5366721
835	773844	5366000
836	774781	5365150
837	775725	5364352
838	776699	5363764
839	777657	5363060
840	778636	5362499
841	779579	5361689
842	780495	5360700
843	781459	5360031
844	782411	5359284
845	783342	5358398
846	784274	5357508
847	785263	5357012
848	786236	5356406
849	787165	5355501
850	788150	5354975
851	789091	5354150
852	790037	5353363
853	790972	5352491
854	791919	5351707
855	792858	5350869
856	793807	5350098
857	794755	5349318
858	795719	5348642
859	796655	5347784
860	797617	5347091
861	798528	5346065
862	799475	5345275
863	800442	5344623
864	801370	5343708
865	802326	5342978
866	803284	5342261
867	804228	5341446
868	805163	5340578
869	806116	5339825
870	807218	5340057
871	808267	5339938
872	809374	5340200
873	810393	5339881
874	811411	5339548
875	812383	5338916
876	813319	5338048
877	814257	5337186
878	815212	5336440
879	816172	5335724
880	817094	5334761
881	818057	5334067
882	818985	5333147
883	819918	5332255
884	820847	5331331
885	821761	5330322
886	822710	5329529
887	823636	5328591
888	824578	5327758
889	825594	5327405
890	826552	5326672
891	827515	5325970
892	828476	5325256
893	829409	5324366
894	830386	5323749
895	831324	5322891
896	832258	5322003
897	833185	5321069
898	834152	5320392
899	835135	5319810
900	836161	5319507
901	837383	5320449
902	838359	5319825
903	839341	5319231
904	840305	5318531
905	841272	5317844
906	842223	5317060
907	843194	5316398
908	844133	5315533
909	845079	5314715
910	846269	5315429
911	847280	5315014
912	848275	5314495
913	849196	5313520
914	850152	5312756
915	851109	5311998
916	852040	5311083
917	852988	5310274
918	853972	5309683
919	854961	5309126
920	855912	5308330
921	856907	5307806
922	857848	5306948
923	858777	5306019
924	859734	5305259
925	860692	5304503
926	861647	5303735
927	862602	5302962
928	863537	5302067
929	864509	5301392
930	865486	5300758
931	866471	5300165
932	867436	5299451
933	868407	5298771
934	869360	5297987
935	870326	5297274
936	871299	5296607
937	872234	5295711
938	873170	5294817
939	874138	5294115
940	875073	5293216
941	876026	5292426
942	877049	5292056
943	877974	5291097
944	878914	5290230
945	879896	5289613
946	880855	5288852
947	881779	5287885
948	882734	5287105
949	883685	5286299
950	884667	5285679
951	885628	5284931
952	886557	5283994
953	887495	5283109
954	888452	5282336
955	889417	5281616
956	890354	5280723
957	891339	5280119
958	892300	5279365
959	893256	5278588
960	894211	5277804
961	895177	5277081
962	896110	5276165
963	897077	5275448
964	898014	5274555
965	898962	5273727
966	899915	5272930
967	900879	5272194
968	901815	5271291
969	902767	5270487
970	903714	5269650
971	904651	5268754
972	905606	5267970
973	906555	5267145
974	907501	5266298
975	908476	5265625
976	909513	5265311
977	910513	5264780
978	911475	5264025
979	912406	5263096
980	913368	5262343
981	914361	5261768
982	915354	5261194
983	916334	5260539
984	917289	5259748
985	918229	5258868
986	919196	5258138
987	920169	5257445
988	921123	5256641
989	922101	5255975
990	923063	5255219
991	924086	5254809
992	925047	5254046
993	926022	5253358
994	926927	5252278
995	927890	5251527
996	928851	5250759
997	929807	5249965
998	930760	5249153
999	931717	5248362
1000	932674	5247572
1001	933644	5246856
1002	934618	5246163
1003	935564	5245314
1004	936533	5244585
1005	937577	5244281
1006	938541	5243532
1007	939507	5242786
1008	940481	5242088
1009	941437	5241292
1010	942405	5240555
1011	943367	5239793
1012	944356	5239175
1013	945314	5238385
1014	946294	5237717
1015	947284	5237102
1016	948261	5236418
1017	949246	5235772
1018	950206	5234993
1019	951191	5234351
1020	952169	5233669
1021	953119	5232833
1022	954087	5232090
1023	955068	5231422
1024	956023	5230616
1025	956987	5229854
1026	957940	5229030
1027	958873	5228100
1028	959853	5227424
1029	960835	5226756
1030	961803	5226018
1031	962773	5225284
1032	963734	5224505
1033	964696	5223728
1034	965684	5223092
1035	966634	5222252
1036	967573	5221350
1037	968562	5220717
1038	969521	5219925
1039	970480	5219132
1040	971448	5218388
1041	972413	5217623
1042	973446	5217223
1043	974457	5216710
1044	975393	5215789
1045	976352	5214992
1046	977343	5214367
1047	978308	5213601
1048	979266	5212795
1049	980215	5211947
1050	981147	5211004
1051	982123	5210294
1052	983064	5209401
1053	984022	5208596
1054	984993	5207863
1055	985939	5206994
1056	986898	5206194
1057	987850	5205356
1058	988823	5204630
1059	989983	5204887
1060	991265	5205780
1061	992731	5207634
1062	993976	5208325
1063	995289	5209367
1064	996619	5210497
1065	997986	5211812
1066	998961	5211080
1067	999950	5210418
1068	1000920	5209657
1069	1001897	5208928
1070	1002865	5208159
1071	1003830	5207370
1072	1004795	5206583
1073	1005762	5205801
1074	1006772	5205245
1075	1007792	5204741
1076	1008783	5204087
1077	1009736	5203232
1078	1010691	5202391
1079	1011714	5201899
1080	1012688	5201155
1081	1013666	5200426
1082	1014632	5199639
1083	1015594	5198834
1084	1016569	5198088
1085	1017554	5197400
1086	1018518	5196599
1087	1019459	5195681
1088	1020423	5194885
1089	1021390	5194097
1090	1022364	5193349
1091	1023328	5192551
1092	1024283	5191702
1093	1025257	5190951
1094	1026234	5190216
1095	1027213	5189492
1096	1028193	5188770
1097	1029181	5188084
1098	1030143	5187276
1099	1031145	5186662
1100	1032133	5185978
1101	1033121	5185295
1102	1034156	5184845
1103	1035144	5184163
1104	1036117	5183400
1105	1037083	5182605
1106	1038056	5181842
1107	1039020	5181035
1108	1040245	5181530
1109	1041417	5181756
1110	1042529	5181680
1111	1043649	5181644
1112	1044794	5181729
1113	1046109	5182655
1114	1047337	5183147
1115	1048458	5183107
1116	1049573	5183030
1117	1050761	5183318
1118	1052016	5183930
1119	1052980	5183106
1120	1053914	5182135
1121	1054892	5181385
1122	1055859	5180574
1123	1056810	5179685
1124	1057778	5178883
1125	1058719	5177945
1126	1059668	5177049
1127	1060736	5176733
1128	1061711	5175960
1129	1062651	5175017
1130	1063611	5174174
1131	1064578	5173361
1132	1065536	5172508
1133	1066473	5171548
1134	1067432	5170698
1135	1068394	5169862
1136	1069344	5168967
1137	1070329	5168241
1138	1071282	5167362
1139	1072229	5166451
1140	1073200	5165657
1141	1074167	5164846
1142	1075143	5164073
1143	1076112	5163272
1144	1077058	5162353
1145	1078024	5161537
1146	1078969	5160617
1147	1079927	5159756
1148	1080874	5158848
1149	1081827	5157965
1150	1082768	5157027
1151	1083723	5156152
1152	1085829	5160750
1153	1087782	5164609
1154	1090109	5170233
1155	1092696	5177074
1156	1094530	5180337
1157	1095851	5181163
1158	1096737	5179934
1159	1097648	5178816
1160	1098530	5177569
1161	1099403	5176277
1162	1100323	5175212
1163	1101239	5174122
1164	1102134	5172936
1165	1103016	5171688
1166	1103916	5170530
1167	1104819	5169383
1168	1105710	5168180
1169	1106580	5166880
1170	1107479	5165714
1171	1108381	5164566
1172	1109278	5163395
1173	1110181	5162247
1174	1111066	5161020
1175	1111946	5159772
1176	1112850	5158632
1177	1113754	5157495
1178	1114665	5156392
1179	1115583	5155317
1180	1116454	5154029
1181	1117369	5152947
1182	1118384	5152318
1183	1119403	5151714
1184	1120417	5151084
1185	1121323	5149956
1186	1122293	5149123
1187	1123205	5148026
1188	1124147	5147062
1189	1125082	5146069
1190	1126012	5145056
1191	1126982	5144219
1192	1127979	5143510
1193	1128909	5142493
1194	1129837	5141468
1195	1130780	5140514
1196	1131672	5139322
1197	1132635	5138460
1198	1133632	5137746
1199	1134545	5136653
1200	1135437	5135466
1201	1136413	5134662
1202	1137362	5133732
1203	1138487	5133596
1204	1139400	5132501
1205	1140323	5131457
1206	1141240	5130382
1207	1142191	5129463
1208	1143191	5128758
1209	1144113	5127708
1210	1145024	5126609
1211	1145940	5125531
1212	1146897	5124637
1213	1147864	5123787
1214	1148800	5122799
1215	1149708	5121684
1216	1150660	5120768
1217	1151626	5119914
1218	1152681	5119455
1219	1153615	5118459
1220	1154517	5117320
